Datetime,BTC_in_BRL
2024-09-25 22:16:17.971880,345182.18646082096
2024-09-25 22:18:03.231355,345058.9157071989
2024-09-25 22:18:14.842333,345058.9157071989
2024-09-26 02:52:02.215562,346503.86841520667
2024-09-26 03:05:20.740569,346685.3410243988
2024-09-26 03:20:04.956905,347114.35792446136
2024-09-26 03:40:22.590393,347280.7345442474
2024-09-26 03:52:34.430904,347610.38733273745
2024-09-26 04:17:54.693192,347418.4373371303
2024-09-26 04:39:08.445514,346919.39300745726
2024-09-26 04:51:11.703444,346770.9990039468
2024-09-26 05:12:35.998757,347405.7147964835
2024-09-26 05:33:35.761443,348176.5510827303
2024-09-26 05:45:41.966647,348081.228248775
2024-09-26 05:57:31.502827,348628.61823290586
2024-09-26 06:32:58.439341,347596.70769708604
2024-09-26 06:49:16.823826,347599.158185333
2024-09-26 07:08:21.927875,347488.97144859284
2024-09-26 07:27:11.297704,347980.6246253103
2024-09-26 07:39:58.839901,348043.2292728722
2024-09-26 07:51:59.926371,348301.0206364542
2024-09-26 08:18:09.686914,347979.6870471984
2024-09-26 08:40:16.455319,348234.5591334775
2024-09-26 08:52:55.292917,347945.59329767525
2024-09-26 09:17:00.056278,347089.09438387305
2024-09-26 09:34:44.916446,348133.4498575479
2024-09-26 09:46:59.378566,348045.8289212733
2024-09-26 09:59:03.024830,347999.86628519744
2024-09-26 10:27:22.197771,350791.155558832
2024-09-26 10:42:59.456926,352906.36184442043
2024-09-26 10:55:20.846983,352203.93256049976
2024-09-26 11:17:14.187426,352586.9632213991
2024-09-26 11:29:12.199009,352373.589744458
2024-09-26 11:41:09.018395,352819.95639038086
2024-09-26 11:53:23.404309,352689.0504284501
2024-09-26 12:33:14.897644,349686.6248546392
2024-09-26 13:04:22.174706,350447.0634131953
2024-09-26 13:32:35.374986,349635.89647937566
2024-09-26 13:46:02.504014,349185.41592928395
2024-09-26 13:58:10.974426,350324.6543573048
2024-09-26 14:25:43.112778,353580.9586942941
2024-09-26 14:42:46.347742,352684.4973157793
2024-09-26 14:54:56.947615,352302.28830747306
2024-09-26 15:20:39.485770,351905.6058132034
2024-09-26 15:48:44.145495,355611.5830006823
2024-09-26 16:08:19.573633,354367.8233198859
2024-09-26 16:35:21.212351,356285.94579771906
2024-09-26 16:51:23.198467,356334.74260579795
2024-09-26 17:12:50.999810,357279.5369018689
2024-09-26 17:34:33.713658,356169.9020189978
2024-09-26 17:46:41.380620,355282.85719972104
2024-09-26 17:58:46.884096,354909.51559107937
2024-09-26 18:30:58.363152,354338.3007744439
2024-09-26 18:47:08.448484,354047.605259344
2024-09-26 18:59:16.033560,354783.51066442207
2024-09-26 19:19:21.545954,355058.1987956688
2024-09-26 19:31:54.536997,354807.409448158
2024-09-26 19:44:02.674554,354505.5136821493
2024-09-26 19:56:11.281290,353352.7683377266
2024-09-26 23:24:33.079321,353074.26962373406
2024-09-26 23:38:49.715727,353210.6844449304
2024-09-26 23:50:55.962442,354048.9919688348
2024-09-27 00:54:08.540522,354618.9093859475
2024-09-27 02:17:15.454557,354108.66017698497
2024-09-27 03:00:19.386429,352764.86160667613
2024-09-27 03:30:26.412840,353442.58114424534
2024-09-27 03:46:01.701468,355048.09989704564
2024-09-27 03:58:12.402245,355587.83272043057
2024-09-27 04:28:13.286483,355388.11734377407
2024-09-27 04:44:17.235681,355503.41781861894
2024-09-27 04:56:42.689980,355490.2479043957
2024-09-27 05:22:57.602519,354848.363278592
2024-09-27 05:39:28.633708,354209.3038118072
2024-09-27 05:51:47.319064,354981.3369286526
2024-09-27 06:19:35.721561,356246.64705855027
2024-09-27 06:43:19.932243,354669.0397447832
2024-09-27 06:55:30.597940,353696.83127456345
2024-09-27 07:19:47.219355,354637.0214731861
2024-09-27 07:33:04.676691,354952.5062008593
2024-09-27 07:45:21.594170,354412.830085678
2024-09-27 07:57:40.195090,354822.316903526
2024-09-27 08:30:10.832756,355732.60504149646
2024-09-27 08:46:57.777984,355750.59283452854
2024-09-27 08:59:01.887442,355989.97861662135
2024-09-27 09:25:40.403698,356754.0154161863
2024-09-27 09:40:21.811659,356232.8349846639
2024-09-27 09:52:25.883570,356859.78363921493
2024-09-27 10:15:40.156079,356915.51345461607
2024-09-27 10:38:17.910027,356703.0867410302
2024-09-27 10:50:20.171717,356808.0250275135
2024-09-27 11:08:49.903722,356794.9343056679
2024-09-27 11:25:33.466535,356565.5183436536
2024-09-27 11:38:21.375081,355682.28094406426
2024-09-27 11:50:28.256108,355815.79826716334
2024-09-27 12:19:19.304712,356140.0736298505
2024-09-27 12:56:00.725355,359184.7932396233
2024-09-27 13:28:21.453547,357135.68579021096
2024-09-27 13:41:24.190784,356075.0105847493
2024-09-27 13:53:42.374141,356169.397876665
2024-09-27 14:16:03.578460,359269.13467914984
2024-09-27 14:36:20.463225,360536.0815167427
2024-09-27 14:48:31.141769,360521.4030044228
2024-09-27 15:00:38.955557,360272.71562881395
2024-09-27 15:24:28.249400,360993.39575393125
2024-09-27 15:39:31.086568,360593.22506040335
2024-09-27 15:52:01.308091,359688.08171566576
2024-09-27 16:16:15.947906,359580.4780207649
2024-09-27 16:40:51.929717,360479.4441098794
2024-09-27 16:52:52.755024,360245.5639685504
2024-09-27 17:13:57.419326,359301.25584893674
2024-09-27 17:32:26.563890,357581.87495359406
